Participant_Sex,Participant_Age,Participant_Ethnicity_1,Participant_Ethnicity_2,Participant_Ethnicity_3,Participant_Ethnicity_4,Education_Level,Family_Income,Participant_LTR,Dating_Length,Relationship_Satisfaction,Probability_Leave_Current_Partner,Partner_Number,Had_Sex,Age_Sex,Participant_Sexual_Orientation,Lifetime_Sex_Partners,Past_Year_Sex_Partners,Sex_Intercourse_Last_Month,Participant_General_Health,VIGILANCE,CONCEALMENT,MONOPOLIZATIONTIME,JEALOUSYINDUCTION,PUNISHMATEINFIDELITY,EMOTIONALMANIPULATION,COMMITMENTMANIPULATION,DEROGATCOMP,RESOUCDISP,SEXINDUC,APPEARENHANCE,LOVECARE,SUBDEBASE,VERPOSSSIG,PHYSPOSSSIG,POSSORNAM,DEROGMATE,INTRATHREAT,VIOLRIVAL,ISCSMEAN,MATINGEFFORT,VIEWSOPPOSITE,SOCIALITY,PARENTING,WEALTH_OLD,WEALTH_NEW,LOOKS_OLD,LOOKS_NEW,RELATIONSHIP_HISTORY_OLD,RELATIONSHIP_HISTORY_NEW,FEAR_FAILURE_OLD,VIEWS_OPPOSITE,FEAR_FAILURE_NEW,SOIBEHAVIOR,SOIATTITUDE,SOIDESIRE,MACHIAVELLIANISM,NARCISSIM,PSYCHOPATHY,PHYSICAL,VERBAL,ANGER,HOSTILITY,SPENDING_BEHAVIOR_TOTAL,SPENDING_BEHAVIOR_AVERAGE,GLOBAL_RISK,PHSYICAL_INJURY,HEALTH_RISK,CRIMINAL_RISK,SEX_DRIVE_TOTAL,SEX_DRIVE_AVERAGE,CFC_MEAN,MINIKMEAN,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS,SOCIAL_DESIRABILITY,TOTALPACS,MEANPACS,INTERPERSONAL,SOCIAL,CONSIDER,TOTALATTITUDE,Has_Children,Age_First_Child,Number_of_Children,Number_Partners_Ch,Number_Children_Want,Number_Children_Exp,LH_Peer_Death,LH_Peer_Death_Number,LH_Peer_Death_Closen,LH_Years_Left_To_Liv
2,38,1, , , ,3,3,1,5,9,3,2,1,18,1,2,2,30,3,3.5,2.5,3.5,2.5,2,2.5,3.5,2.5,3,3,2.5,3,2.5,3,2.5,1.5,1.5,2,2.5,4.58333333333333,29,3.66666666666667,4.8,4.66666666666667,2.5,3,5.5,4.66666666666667,4,4.66666666666667,6,3.66666666666667,5.33333333333333,11,16,14,2.88888888888889,3.22222222222222,3.44444444444444,4.25,3.33333333333333,4.5,4.66666666666667,35,4.375,1.08333333333333,1,1.25,1,.805000779715907,.201250194928977,2.66666666666667,5.15,2.75,4.11111111111111,3.66666666666667,1.875,4,19,9,1.8,24,16,18,58,2, , , ,2,2,2, , ,40
1,32,3, , , ,4,1,1,5,10,11,1,1,26,2,1,1,15,4,2,3,4,3,2,2.5,3.5,3,2.5,2.5,2.5,2.5,3.5,3.5,2.5,2.5,3.5,3.5,3,5.5,39,5,5.2,5,5.5,5.33333333333333,4,4.33333333333333,6.5,6.33333333333333,3.5,5,3.33333333333333,21,20,22,3.88888888888889,3.11111111111111,3.33333333333333,4.5,5,6,5.33333333333333,57,7.125,4.41666666666667,4,4,5.25,.772265054551104,.193066263637776,3,5.75,3.625,2.77777777777778,3.22222222222222,2.75,3.5,19,17,3.4,23,25,26,74,1,28,1, ,1,2,2, , ,30
2,45,1,7, , ,3,6,1,5,10,1,6,1,17,1,6,1,3,3,2,1,1.5,2,2.5,1,1.5,2,2,2.5,3,3,2.5,2.5,2,1,1,2,1,2.25,22,3.5,3.6,5,7,7,4,4.66666666666667,4,3.66666666666667,1,3.5,1,4,14,7,3,2.66666666666667,1.66666666666667,1.75,1.66666666666667,2,3,32,4,2.16666666666667,2.75,2.25,1.5,-.0382055072244802,-.00955137680612006,3.66666666666667,5.7,3.375,3.66666666666667,4.44444444444444,2.75,4.2,19,9,1.8,19,17,30,66,1,"24, 4",2,1,2,2,1,3,3,25
2,47,1,8, , ,4,3,2, , , ,4,1,29,1,6,6,0,4,1,1,1,1,1,1,2,2.5,3,3,3.5,4,2.5,3,4,1,1,1,1,1.5,22,4.66666666666667,5.8,1,7,6.66666666666667,2,3,2.5,2.66666666666667,1,4.66666666666667,1,6,13,6,2.88888888888889,2.22222222222222,1.55555555555556,2.5,1.66666666666667,1,2.33333333333333,22,2.75,1,1,1,1,-4.23615533636615,-1.05903883409154,4.16666666666667,5.05,3.5,4.44444444444444,5,2,3.7,18,11,2.2,31,15,29,75,1,34 years 1 month,1,1,2,1,1,1,0,40
2,19,6, , , ,2,3,1,2,7,2,10,1,17,3,8,2,15,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,18,6,3.22222222222222,3.44444444444444,3,3.75,4,3,3.66666666666667,39,4.875, ,2.25, ,1,6.15100532145674,1.53775133036418,3.58333333333333, ,2.625,2.88888888888889,3.11111111111111,1.625,2.6,17,15,3,22,19,21,62,2, , , ,3,3,2, , ,50
1,21,1, , , ,3,6,1,5,9,1,1,1,19,3,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,17,18,3.11111111111111,3.77777777777778,2.77777777777778,3.25,3.66666666666667,5,3.66666666666667,39,4.875,3.5,2.75,3.75,4,3.14457442112883,.786143605282207,2,3.8,2.875,4.33333333333333,2.77777777777778,2.5,2.8,17,14,2.8,17,25,18,60,2, , , ,0,0,2, , ,55
2,23,1, , , ,4,7,1,4,10,10,1,1,22,1,1,1,1,4,4,3,2.5,4,3,2.5,2,2,3,2.5,3.5,2.5,2.5,2,2.5,3.5,3,2.5,2,4.5,32,5,4.8,4.66666666666667,4.5,4.66666666666667,5.5,5,4.5,4.33333333333333,3.5,5,3.33333333333333,21,19,20,3.44444444444444,2.77777777777778,3,5.25,4.66666666666667,5,5,51,6.375,3.66666666666667,3.5,4.5,3,1.44497855045594,.361244637613985,3.16666666666667,4.6,3.25,2.66666666666667,2.88888888888889,2.375,2.9,17,18,3.6,24,29,25,78,2, , , ,0,0,2, , ,76
2,26,1, , , ,4,5,1,5,5,1,10,1,18,1,20,1,0,2,2.5,2,2,2,2,2.5,3,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2.5,3.91666666666667,10,3.33333333333333,4,3.66666666666667,3.5,3.66666666666667,3.5,3.66666666666667,3.5,4,4.5,3.33333333333333,4.33333333333333,16,18,14,5,2.55555555555556,2.88888888888889,4,4,4,4,40,5,3.5,3.25,3.5,3.75,-.210169121072459,-.0525422802681149,3,4.15,3,2.88888888888889,2.77777777777778,2.25,2.8,17,15,3,23,18,19,60,2, , , ,0,0,1,1,1,0
1,32,2, , , ,4,2,1,5,10,11,1,1,23,2,1,1,15,4,2.5,3.5,3.5,3,3,3,3,3,3,3,2,3,4,3.5,2.5,3,3,3.5,3.5,5.33333333333333,40,5.5,5,4.66666666666667,3.5,3.66666666666667,4.5,4.66666666666667,5,5,2.5,5.5,3,15,17,19,3.88888888888889,3.22222222222222,3.33333333333333,4.75,5,4.5,5,60,7.5,3.66666666666667,4,3.5,3.5,-.624937196205326,-.156234299051331,2.66666666666667,4.85,3,3.11111111111111,2.55555555555556,2.125,3.1,17,20,4,23,25,25,73,1,28,1,1,1,1,2, , ,30
2,23,1, , , ,4,6,1,4,11,1,1,1, ,2, , , ,4,1, ,1,1.5,1,1,1,1,1,2,2.5,2.5,2,1,1,1,1,1,1,1,11,6.83333333333333,5.6,1,4,4,5,5.33333333333333,7,7,2,6.83333333333333,1.66666666666667, , , ,2,2.77777777777778,1.11111111111111,1.25,2.66666666666667,1,2,24,3,1,1,1,1, , ,3.16666666666667,5.6,3.75,3.44444444444444,3.22222222222222,2.25,3.7,17,15,3,21,5,11,37,2, , , ,o,4,2, , ,1
